prompt_text,inferred_speaker
"CONTEXT:
'CHAPTER I. It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife. However little known the feelings or views of such a man may be on his first entering a neighbourhood, this truth is so well fixed in the minds of the surrounding families, that he is considered as the rightful property of some one or other of their daughters. ""My dear Mr. Bennet,"" said his lady to him one day, ""have you heard that Netherfield Park is let at last?""  Mr. Bennet replied that he had not. ""But it is,"" returned she; ""for Mrs. Long has just been here, and she told me all about it."" Mr. Bennet made no answer. ""Do not you want to know who has taken it?""'

GIVEN CONTEXT, OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""My dear Mr. Bennet,"" said his lady to him one day, ""have you heard that Netherfield Park is let at last?""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Mrs. Bennet"
"CONTEXT:
'It is a truth universally acknowledged, that a single man in possession of a good fortune, must be in want of a wife. However little known the feelings or views of such a man may be on his first entering a neighbourhood, this truth is so well fixed in the minds of the surrounding families, that he is considered as the rightful property of some one or other of their daughters. ""My dear Mr. Bennet,"" said his lady to him one day, ""have you heard that Netherfield Park is let at last?"" Mr. Bennet replied that he had not. ""But it is,"" returned she; ""for Mrs. Long has just been here, and she told me all about it.""  Mr. Bennet made no answer. ""Do not you want to know who has taken it?"" cried his wife impatiently. ""_You_ want to tell me, and I have no objection to hearing it.""'

GIVEN CONTEXT, OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""But it is,"" returned she; ""for Mrs. Long has just been here, and she told me all about it.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Mrs. Bennet"
"CONTEXT:
'""My dear Mr. Bennet,"" said his lady to him one day, ""have you heard that Netherfield Park is let at last?"" Mr. Bennet replied that he had not. ""But it is,"" returned she; ""for Mrs. Long has just been here, and she told me all about it."" Mr. Bennet made no answer. ""Do not you want to know who has taken it?"" cried his wife impatiently. ""_You_ want to tell me, and I have no objection to hearing it."" This was invitation enough. ""Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on Monday in a chaise and four to see the place, and was so much delighted with it that he agreed with Mr. Morris immediately; that he is to take possession before Michaelmas, and some of his servants are to be in the house by the end of next week.""'

GIVEN CONTEXT, OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Do not you want to know who has taken it?""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Mrs. Bennet"
"CONTEXT:
'""But it is,"" returned she; ""for Mrs. Long has just been here, and she told me all about it."" Mr. Bennet made no answer. ""Do not you want to know who has taken it?"" cried his wife impatiently. ""_You_ want to tell me, and I have no objection to hearing it.""  This was invitation enough. ""Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on Monday in a chaise and four to see the place, and was so much delighted with it that he agreed with Mr. Morris immediately; that he is to take possession before Michaelmas, and some of his servants are to be in the house by the end of next week."" ""What is his name?"" ""Bingley.""'

GIVEN CONTEXT, OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""_You_ want to tell me, and I have no objection to hearing it.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Mrs. Bennet"
"CONTEXT:
'""Do not you want to know who has taken it?"" cried his wife impatiently. ""_You_ want to tell me, and I have no objection to hearing it."" This was invitation enough. ""Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on Monday in a chaise and four to see the place, and was so much delighted with it that he agreed with Mr. Morris immediately; that he is to take possession before Michaelmas, and some of his servants are to be in the house by the end of next week.""  ""What is his name?"" ""Bingley."" ""Is he married or single?"" ""Oh!'

GIVEN CONTEXT, OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on Monday in a chaise and four to see the place, and was so much delighted with it that he agreed with Mr. Morris immediately; that he is to take possession before Michaelmas, and some of his servants are to be in the house by the end of next week.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Mrs. Bennet."
"CONTEXT:
'cried his wife impatiently. ""_You_ want to tell me, and I have no objection to hearing it."" This was invitation enough. ""Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on Monday in a chaise and four to see the place, and was so much delighted with it that he agreed with Mr. Morris immediately; that he is to take possession before Michaelmas, and some of his servants are to be in the house by the end of next week."" ""What is his name?""  ""Bingley."" ""Is he married or single?"" ""Oh! single, my dear, to be sure!'

GIVEN CONTEXT, OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""What is his name?""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Mrs. Bennet"
"CONTEXT:
'""_You_ want to tell me, and I have no objection to hearing it."" This was invitation enough. ""Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on Monday in a chaise and four to see the place, and was so much delighted with it that he agreed with Mr. Morris immediately; that he is to take possession before Michaelmas, and some of his servants are to be in the house by the end of next week."" ""What is his name?"" ""Bingley.""  ""Is he married or single?"" ""Oh! single, my dear, to be sure! A single man of large fortune; four or five thousand a year.'

GIVEN CONTEXT, OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Bingley.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Answer: Mrs. Bennet."
"CONTEXT:
'This was invitation enough. ""Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on Monday in a chaise and four to see the place, and was so much delighted with it that he agreed with Mr. Morris immediately; that he is to take possession before Michaelmas, and some of his servants are to be in the house by the end of next week."" ""What is his name?"" ""Bingley."" ""Is he married or single?""  ""Oh! single, my dear, to be sure! A single man of large fortune; four or five thousand a year. What a fine thing for our girls!""'

GIVEN CONTEXT, OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Is he married or single?""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Mrs. Bennet."
"CONTEXT:
'""Why, my dear, you must know, Mrs. Long says that Netherfield is taken by a young man of large fortune from the north of England; that he came down on Monday in a chaise and four to see the place, and was so much delighted with it that he agreed with Mr. Morris immediately; that he is to take possession before Michaelmas, and some of his servants are to be in the house by the end of next week."" ""What is his name?"" ""Bingley."" ""Is he married or single?"" ""Oh! single, my dear, to be sure! A single man of large fortune; four or five thousand a year. What a fine thing for our girls!""  ""How so? how can it affect them?"" ""My dear Mr. Bennet,"" replied his wife, ""how can you be so tiresome! You must know that I am thinking of his marrying one of them.""'

GIVEN CONTEXT, OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Oh! single, my dear, to be sure! A single man of large fortune; four or five thousand a year. What a fine thing for our girls!""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Mrs. Bennet."
"CONTEXT:
'""Oh! single, my dear, to be sure! A single man of large fortune; four or five thousand a year. What a fine thing for our girls!"" ""How so? how can it affect them?""  ""My dear Mr. Bennet,"" replied his wife, ""how can you be so tiresome! You must know that I am thinking of his marrying one of them."" ""Is that his design in settling here?"" ""Design!'

GIVEN CONTEXT, OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""How so? how can it affect them?""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Mrs. Bennet"
"CONTEXT:
'A single man of large fortune; four or five thousand a year. What a fine thing for our girls!"" ""How so? how can it affect them?"" ""My dear Mr. Bennet,"" replied his wife, ""how can you be so tiresome! You must know that I am thinking of his marrying one of them.""  ""Is that his design in settling here?"" ""Design! nonsense, how can you talk so! But it is very likely that he _may_ fall in love with one of them, and therefore you must visit him as soon as he comes.""'

GIVEN CONTEXT, OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""My dear Mr. Bennet,"" replied his wife, ""how can you be so tiresome! You must know that I am thinking of his marrying one of them.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Mrs. Bennet."
"CONTEXT:
'""How so? how can it affect them?"" ""My dear Mr. Bennet,"" replied his wife, ""how can you be so tiresome! You must know that I am thinking of his marrying one of them."" ""Is that his design in settling here?""  ""Design! nonsense, how can you talk so! But it is very likely that he _may_ fall in love with one of them, and therefore you must visit him as soon as he comes."" ""I see no occasion for that.'

GIVEN CONTEXT, OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Is that his design in settling here?""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Mr. Bennet"
"CONTEXT:
'how can it affect them?"" ""My dear Mr. Bennet,"" replied his wife, ""how can you be so tiresome! You must know that I am thinking of his marrying one of them."" ""Is that his design in settling here?"" ""Design! nonsense, how can you talk so! But it is very likely that he _may_ fall in love with one of them, and therefore you must visit him as soon as he comes.""  ""I see no occasion for that. You and the girls may go, or you may send them by themselves, which perhaps will be still better, for as you are as handsome as any of them, Mr. Bingley might like you the best of the party."" ""My dear, you flatter me. I certainly _have_ had my share of beauty, but I do not pretend to be any thing extraordinary now.'

GIVEN CONTEXT, OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""Design! nonsense, how can you talk so! But it is very likely that he _may_ fall in love with one of them, and therefore you must visit him as soon as he comes.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Mrs. Bennet."
"CONTEXT:
'""Is that his design in settling here?"" ""Design! nonsense, how can you talk so! But it is very likely that he _may_ fall in love with one of them, and therefore you must visit him as soon as he comes."" ""I see no occasion for that. You and the girls may go, or you may send them by themselves, which perhaps will be still better, for as you are as handsome as any of them, Mr. Bingley might like you the best of the party.""  ""My dear, you flatter me. I certainly _have_ had my share of beauty, but I do not pretend to be any thing extraordinary now. When a woman has five grown up daughters, she ought to give over thinking of her own beauty."" ""In such cases, a woman has not often much beauty to think of.""'

GIVEN CONTEXT, OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""I see no occasion for that. You and the girls may go, or you may send them by themselves, which perhaps will be still better, for as you are as handsome as any of them, Mr. Bingley might like you the best of the party.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Mrs. Bennet."
"CONTEXT:
'nonsense, how can you talk so! But it is very likely that he _may_ fall in love with one of them, and therefore you must visit him as soon as he comes."" ""I see no occasion for that. You and the girls may go, or you may send them by themselves, which perhaps will be still better, for as you are as handsome as any of them, Mr. Bingley might like you the best of the party."" ""My dear, you flatter me. I certainly _have_ had my share of beauty, but I do not pretend to be any thing extraordinary now. When a woman has five grown up daughters, she ought to give over thinking of her own beauty.""  ""In such cases, a woman has not often much beauty to think of."" ""But, my dear, you must indeed go and see Mr. Bingley when he comes into the neighbourhood."" ""It is more than I engage for, I assure you."" ""But consider your daughters.'

GIVEN CONTEXT, OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""My dear, you flatter me. I certainly _have_ had my share of beauty, but I do not pretend to be any thing extraordinary now. When a woman has five grown up daughters, she ought to give over thinking of her own beauty.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Mrs. Bennet."
"CONTEXT:
'You and the girls may go, or you may send them by themselves, which perhaps will be still better, for as you are as handsome as any of them, Mr. Bingley might like you the best of the party."" ""My dear, you flatter me. I certainly _have_ had my share of beauty, but I do not pretend to be any thing extraordinary now. When a woman has five grown up daughters, she ought to give over thinking of her own beauty."" ""In such cases, a woman has not often much beauty to think of.""  ""But, my dear, you must indeed go and see Mr. Bingley when he comes into the neighbourhood."" ""It is more than I engage for, I assure you."" ""But consider your daughters. Only think what an establishment it would be for one of them.'

GIVEN CONTEXT, OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""In such cases, a woman has not often much beauty to think of.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Mrs. Bennet."
"CONTEXT:
'""My dear, you flatter me. I certainly _have_ had my share of beauty, but I do not pretend to be any thing extraordinary now. When a woman has five grown up daughters, she ought to give over thinking of her own beauty."" ""In such cases, a woman has not often much beauty to think of."" ""But, my dear, you must indeed go and see Mr. Bingley when he comes into the neighbourhood.""  ""It is more than I engage for, I assure you."" ""But consider your daughters. Only think what an establishment it would be for one of them. Sir William and Lady Lucas are determined to go, merely on that account, for in general you know they visit no new comers.'

GIVEN CONTEXT, OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""But, my dear, you must indeed go and see Mr. Bingley when he comes into the neighbourhood.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Mrs. Bennet."
"CONTEXT:
'I certainly _have_ had my share of beauty, but I do not pretend to be any thing extraordinary now. When a woman has five grown up daughters, she ought to give over thinking of her own beauty."" ""In such cases, a woman has not often much beauty to think of."" ""But, my dear, you must indeed go and see Mr. Bingley when he comes into the neighbourhood."" ""It is more than I engage for, I assure you.""  ""But consider your daughters. Only think what an establishment it would be for one of them. Sir William and Lady Lucas are determined to go, merely on that account, for in general you know they visit no new comers. Indeed you must go, for it will be impossible for _us_ to visit him, if you do not.""'

GIVEN CONTEXT, OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""It is more than I engage for, I assure you.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Mrs. Bennet."
"CONTEXT:
'When a woman has five grown up daughters, she ought to give over thinking of her own beauty."" ""In such cases, a woman has not often much beauty to think of."" ""But, my dear, you must indeed go and see Mr. Bingley when he comes into the neighbourhood."" ""It is more than I engage for, I assure you."" ""But consider your daughters. Only think what an establishment it would be for one of them. Sir William and Lady Lucas are determined to go, merely on that account, for in general you know they visit no new comers. Indeed you must go, for it will be impossible for _us_ to visit him, if you do not.""  ""You are over scrupulous surely. I dare say Mr. Bingley will be very glad to see you; and I will send a few lines by you to assure him of my hearty consent to his marrying which ever he chuses of the girls; though I must throw in a good word for my little Lizzy."" ""I desire you will do no such thing. Lizzy is not a bit better than the others; and I am sure she is not half so handsome as Jane, nor half so good humoured as Lydia.'

GIVEN CONTEXT, OUTPUT THE NAME OF THE CHARACTER WHO SAID:
'""But consider your daughters. Only think what an establishment it would be for one of them. Sir William and Lady Lucas are determined to go, merely on that account, for in general you know they visit no new comers. Indeed you must go, for it will be impossible for _us_ to visit him, if you do not.""'

Only give me the speaker’s name and nothing else. Please do NOT include the quote in the response.","

Mrs. Bennet."
