left_context,right_context
"Emma smiled and chatted as cheerfully as she could, to keep him from such thoughts; but when tea came, it was impossible for him not to say exactly as he had said at dinner,"," ""I cannot agree with you, papa; you know I cannot."
"What a pity it is that Mr. Weston ever thought of her!"""," ""A house of her own!--But where is the advantage of a house of her own?"
"Mr. Weston is such a good-humoured, pleasant, excellent man, that he thoroughly deserves a good wife;--and you would not have had Miss Taylor live with us for ever, and bear all my odd humours, when she might have a house of her own?"""," ""How often we shall be going to see them, and they coming to see us!--We shall be always meeting!"
"This is three times as large.--And you have never any odd humours, my dear."""," ""My dear, how am I to get so far?"
"_We_ must begin; we must go and pay wedding visit very soon."""," ""No, papa, nobody thought of your walking."
"I could not walk half so far."""," ""The carriage!"
"We must go in the carriage, to be sure."""," ""They are to be put into Mr. Weston's stable, papa."
"But James will not like to put the horses to for such a little way;--and where are the poor horses to be while we are paying our visit?"""," ""I am very glad I did think of her."
"Nobody thought of Hannah till you mentioned her--James is so obliged to you!"""," Emma spared no exertions to maintain this happier flow of ideas, and hoped, by the help of backgammon, to get her father tolerably through the evening, and be attacked by no regrets but her own."
"When this was over, Mr. Woodhouse gratefully observed,"," ""Not at all, sir."
"I am afraid you must have had a shocking walk."""," ""But you must have found it very damp and dirty."
"It is a beautiful moonlight night; and so mild that I must draw back from your great fire."""," ""Dirty, sir!"
"I wish you may not catch cold."""," ""Well!"
"Not a speck on them."""," ""By the bye--I have not wished you joy."
"I wanted them to put off the wedding."""," ""Ah!"
"Who cried most?"""," ""Poor Mr. and Miss Woodhouse, if you please; but I cannot possibly say 'poor Miss Taylor.'"
"'Tis a sad business.""",poor Miss Taylor.'
"""Poor Mr. and Miss Woodhouse, if you please; but I cannot possibly say 'poor Miss Taylor.'"," ""Especially when _one_ of those two is such a fanciful, troublesome creature!"""
"I have a great regard for you and Emma; but when it comes to the question of dependence or independence!--At any rate, it must be better to have only one to please than two."""," ""I believe it is very true, my dear, indeed,"" said Mr. Woodhouse, with a sigh."
"""That is what you have in your head, I know--and what you would certainly say if my father were not by."""," ""My dearest papa!"
"""I am afraid I am sometimes very fanciful and troublesome."""," Mr. Knightley, in fact, was one of the few people who could see faults in Emma Woodhouse, and the only one who ever told her of them: and though this was not particularly agreeable to Emma herself, she knew it would be so much less so to her father, that she would not have him really suspect such a circumstance as her not being thought perfect by every body."
"Mr. Knightley, in fact, was one of the few people who could see faults in Emma Woodhouse, and the only one who ever told her of them: and though this was not particularly agreeable to Emma herself, she knew it would be so much less so to her father, that she would not have him really suspect such a circumstance as her not being thought perfect by every body."," ""Well,"" said Emma, willing to let it pass--""you want to hear about the wedding; and I shall be happy to tell you, for we all behaved charmingly."
"The chances are that she must be a gainer."""," ""Dear Emma bears every thing so well,"" said her father."
"Oh no; we all felt that we were going to be only half a mile apart, and were sure of meeting every day."""," Emma turned away her head, divided between tears and smiles."
"Emma turned away her head, divided between tears and smiles."," ""And you have forgotten one matter of joy to me,"" said Emma, ""and a very considerable one--that I made the match myself."
"Every friend of Miss Taylor must be glad to have her so happily married.""", Mr. Knightley shook his head at her.
"Her father fondly replied,"," ""I promise you to make none for myself, papa; but I must, indeed, for other people."
"Pray do not make any more matches."""," ""Ever since the day--about four years ago--that Miss Taylor and I met with him in Broadway Lane, when, because it began to drizzle, he darted away with so much gallantry, and borrowed two umbrellas for us from Farmer Mitchell's, I made up my mind on the subject."
"All manner of solemn nonsense was talked on the subject, but I believed none of it."""," ""I do not understand what you mean by 'success,'"" said Mr. Knightley."
"I planned the match from that hour; and when such success has blessed me in this instance, dear papa, you cannot think that I shall leave off match-making."""," ""And have you never known the pleasure and triumph of a lucky guess?--I pity you.--I thought you cleverer--for, depend upon it a lucky guess is never merely luck."
"You made a lucky guess; and _that_ is all that can be said."""," ""A straightforward, open-hearted man like Weston, and a rational, unaffected woman like Miss Taylor, may be safely left to manage their own concerns."
"I think you must know Hartfield enough to comprehend that."""," ""Emma never thinks of herself, if she can do good to others,"" rejoined Mr. Woodhouse, understanding but in part."
"You are more likely to have done harm to yourself, than good to them, by interference."""," ""Only one more, papa; only for Mr. Elton."
"""But, my dear, pray do not make any more matches; they are silly things, and break up one's family circle grievously."""," ""Mr. Elton is a very pretty young man, to be sure, and a very good young man, and I have a great regard for him."
"I think very well of Mr. Elton, and this is the only way I have of doing him a service."""," ""With a great deal of pleasure, sir, at any time,"" said Mr. Knightley, laughing, ""and I agree with you entirely, that it will be a much better thing."
